Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.4756534,-0.047351845,0.13944249,0.0066014156,0.0723868,0.00029951506,0.19983838,0.009983852,0.23359382,0.93909633,999.0,-1.0000000521540642,-1.0000000521540642,4.682381296530366,1.0
60000,1.1263124,-0.07136699,0.42892367,0.0031940965,0.074662805,0.00029862172,0.19954056,0.009954103,0.18038899,0.539262,986.030303030303,-0.9263818699753645,-0.9263818699753645,4.390715329936056,1.0
90000,0.8516211,-0.058927167,0.34633845,0.0014458754,0.072548516,0.00029770544,0.19923514,0.00992359,0.1327188,0.33869365,981.4545454545455,-0.8568188021890819,-0.8568188021890819,2.9807277648651507,1.0
120000,0.6608272,-0.08585063,0.2639906,0.0023455264,0.069327675,0.00029684172,0.19894724,0.009894828,0.11164562,0.2667293,947.125,-0.7677455020673347,-0.7677455020673347,2.2136688313700934,1.0
150000,0.6323256,-0.10016156,0.28269172,0.00027415756,0.072655946,0.00029597493,0.1986583,0.009865965,0.14162032,0.24401039,999.0,-0.9999000518582761,-0.9999000518582761,2.8609585827216506,1.0
180000,0.66944367,-0.10047367,0.27592278,0.000904332,0.06853885,0.0002950784,0.19835947,0.009836111,0.12838686,0.25463992,998.741935483871,-0.9351161816908468,-0.9351161816908468,2.7520923249183165,1.0
210000,0.649687,-0.104861006,0.2779775,0.0008585654,0.07012622,0.0002941662,0.19805542,0.009805734,0.12836824,0.25720254,982.3125,-0.9206562996841967,-0.9206562996841967,2.65410528331995,1.0
240000,0.70917094,-0.10643531,0.2416423,0.0005999533,0.0653823,0.00029325922,0.19775306,0.009775532,0.12575072,0.23619176,989.78125,-0.92579359945751,-0.92579359945751,2.506963961547421,1.0
270000,0.57340425,-0.105626486,0.26638794,0.0007577479,0.07027277,0.00029235287,0.19745094,0.009745349,0.11742076,0.17401552,997.6190476190476,-0.9075273234735836,-0.9075273234735836,2.5271384810859505,1.0
300000,0.62733066,-0.09516267,0.25164348,0.00031212953,0.07106811,0.00029145798,0.19715264,0.009715549,0.11167541,0.1870969,999.0,-0.9998750514350832,-0.9998750514350832,2.3209702908061445,1.0
330000,0.50708514,-0.094597235,0.24974972,0.0009472695,0.07061035,0.0002905674,0.1968558,0.0096858945,0.103785045,0.156447,988.40625,-0.9243871468690134,-0.9243871468690134,2.2113799554926734,1.0
360000,0.5423178,-0.09840838,0.2104635,0.0020016925,0.069645174,0.00028965136,0.19655044,0.009655389,0.09400857,0.16290824,963.3333333333334,-0.7072065018357769,-0.7072065018357769,1.88580368146781,1.0
390000,0.5077553,-0.089556195,0.20430893,0.00093660684,0.07033433,0.0002887492,0.19624974,0.009625347,0.09139922,0.14130908,988.7096774193549,-0.8605032805954257,-0.8605032805954257,1.9189754205365335,1.0
420000,0.48547053,-0.098435864,0.18725625,0.00070994673,0.067127444,0.00028786177,0.19595395,0.0095957965,0.089576796,0.12582657,995.3125,-0.9336188018787652,-0.9336188018787652,1.8521934510208666,1.0
450000,0.52762806,-0.09340466,0.18374379,0.0006299485,0.070513636,0.00028695568,0.1956519,0.0095656235,0.08616119,0.13171309,965.75,-0.8415125492028892,-0.8415125492028892,1.7515844990266487,1.0
480000,0.56463164,-0.08384873,0.18713003,0.00017451259,0.07009803,0.00028605008,0.19535,0.009535467,0.0916438,0.15876074,999.0,-0.9997806964862731,-0.9997806964862731,1.8460532846530118,1.0
510000,0.5276998,-0.09906151,0.2057504,8.5427164e-05,0.0664044,0.0002851543,0.19505142,0.009505638,0.09898596,0.1400179,999.0,-0.9997520512342453,-0.9997520512342453,2.007641490995884,1.0
540000,0.5605547,-0.09434774,0.206185,0.0007778086,0.07156901,0.00028425225,0.19475076,0.009475599,0.10150271,0.13775547,961.9705882352941,-0.8450647544334916,-0.8450647544334916,2.0354235989644245,1.0
570000,0.53034747,-0.088614866,0.20059021,0.0006787131,0.06649863,0.0002833525,0.19445086,0.009445637,0.09379614,0.11828725,996.7096774193549,-0.9328645648014161,-0.9328645648014161,1.9444501212527674,1.0
600000,0.5553717,-0.07549771,0.19978736,0.0026526593,0.067281544,0.0002824647,0.19415487,0.009416074,0.094984435,0.12677827,931.3333333333334,-0.46521338522434236,-0.46521338522434236,1.8147773290673892,1.0
630000,0.5167501,-0.07471967,0.1998822,0.0020162517,0.06863572,0.0002815488,0.19384961,0.009385576,0.094875105,0.11224233,968.2,-0.7021333833535512,-0.7021333833535512,1.908173814850549,1.0
660000,0.51179814,-0.08336454,0.20078593,0.00035822886,0.07187105,0.00028064498,0.19354832,0.009355477,0.09410478,0.12073575,996.0,-0.9341438002884388,-0.9341438002884388,1.8995058717555366,1.0
